user_id	age_group	gender
97068	45-54	Female
2298	25-34	Male
61811	35-44	Other
10480	55-64	Female
2535	25-34	Female
71912	18-24	Other
69887	55-64	Other
7945	55-64	Other
95981	25-34	Female
89582	55-64	Other
92203	45-54	Other
39975	55-64	Female
17397	55-64	Other
45997	45-54	Male
65654	45-54	Other
85113	25-34	Female
79763	35-44	Male
91557	25-34	Male
97618	35-44	Male
95020	55-64	Male
91627	35-44	Female
8036	25-34	Male
95728	35-44	Other
50778	65+	Male
68920	25-34	Other
4964	55-64	Female
15146	25-34	Male
64691	25-34	Male
83241	18-24	Female
35688	55-64	Male
8371	45-54	Other
55847	65+	Other
27107	65+	Other
72656	35-44	Male
21015	55-64	Male
78783	18-24	Other
64220	65+	Male
56872	45-54	Other
53387	18-24	Male
33405	25-34	Other
76252	65+	Female
56282	45-54	Other
30318	55-64	Other
69574	18-24	Other
41119	25-34	Other
88637	55-64	Male
10881	18-24	Male
24764	45-54	Male
62397	65+	Other
75075	18-24	Other
85389	18-24	Other
49333	55-64	Female
83433	25-34	Other
35088	18-24	Male
62269	65+	Other
94579	25-34	Female
29965	65+	Male
95120	55-64	Male
84229	35-44	Male
16517	65+	Male
22126	45-54	Female
72018	35-44	Female
43441	55-64	Male
7184	45-54	Male
44532	18-24	Female
44536	25-34	Other
73048	18-24	Male
73346	65+	Other
40125	18-24	Male
18404	25-34	Male
68618	65+	Other
92948	45-54	Male
89411	25-34	Female
37503	25-34	Female
42162	55-64	Male
11233	18-24	Female
77767	55-64	Male
70753	55-64	Male
92804	18-24	Female
62319	18-24	Other
1126	25-34	Male
81573	55-64	Other
14895	45-54	Female
51910	45-54	Female
85290	35-44	Female
64286	35-44	Other
75343	45-54	Female
38988	35-44	Male
1622	35-44	Female
41305	65+	Male
9438	25-34	Other
6861	18-24	Male
28228	45-54	Female
82714	45-54	Female
27289	18-24	Female
91095	18-24	Other
41678	65+	Male
65961	65+	Female
43514	65+	Male
50577	45-54	Other
